id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal read,1,0,0,289,0,0,0,200,0,0,0,49,289
2,Non-temporal read,1,40,0,389,0,0,122,200,0,0,0,27,389
4,Non-temporal read,1,80,0,489,0,0,222,200,0,0,0,27,489
6,Non-temporal read,1,c0,0,589,0,0,322,200,0,0,0,27,589
8,Non-temporal read,1,100,0,689,0,0,422,200,0,0,0,27,689
10,Non-temporal read,1,140,0,789,0,0,522,200,0,0,0,27,789
12,Non-temporal read,1,180,0,889,0,0,622,200,0,0,0,27,889
14,Non-temporal read,1,1c0,0,989,0,0,722,200,0,0,0,27,989
16,Non-temporal read,1,200,0,1089,0,0,822,200,0,0,0,27,1089
18,Non-temporal read,1,240,0,1189,0,0,922,200,0,0,0,27,1189
20,Non-temporal read,1,280,0,1289,0,0,1022,200,0,0,0,27,1289
22,Non-temporal read,1,2c0,0,1389,0,0,1122,200,0,0,0,27,1389
24,Non-temporal read,1,300,0,1489,0,0,1222,200,0,0,0,27,1489
26,Non-temporal read,1,340,0,1589,0,0,1322,200,0,0,0,27,1589
28,Non-temporal read,1,380,0,1689,0,0,1422,200,0,0,0,27,1689
30,Non-temporal read,1,3c0,0,1789,0,0,1522,200,0,0,0,27,1789
1,Non-temporal write,2,40000000,0,1889,0,0,1448,400,0,0,0,1,1889
32,Non-temporal read,1,400,0,1989,0,0,1722,200,0,0,0,27,1989
3,Non-temporal write,2,40000040,0,2089,0,0,1648,400,0,0,0,1,2089
5,Non-temporal write,2,40000080,0,2189,0,0,1748,400,0,0,0,1,2189
34,Non-temporal read,1,440,389,2289,0,0,1633,200,0,0,0,27,1900
7,Non-temporal write,2,400000c0,0,2389,0,0,1948,400,0,0,0,1,2389
9,Non-temporal write,2,40000100,0,2489,0,0,2048,400,0,0,0,1,2489
36,Non-temporal read,1,480,589,2589,0,0,1733,200,0,0,0,27,2000
11,Non-temporal write,2,40000140,0,2689,0,0,2248,400,0,0,0,1,2689
13,Non-temporal write,2,40000180,0,2789,0,0,2348,400,0,0,0,1,2789
38,Non-temporal read,1,4c0,789,2889,0,0,1833,200,0,0,0,27,2100
15,Non-temporal write,2,400001c0,0,2989,0,0,2548,400,0,0,0,1,2989
17,Non-temporal write,2,40000200,0,3089,0,0,2648,400,0,0,0,1,3089
19,Non-temporal write,2,40000240,0,3189,0,0,2748,400,0,0,0,1,3189
21,Non-temporal write,2,40000280,0,3289,0,0,2848,400,0,0,0,1,3289
40,Non-temporal read,1,500,989,3389,0,0,2133,200,0,0,0,27,2400
23,Non-temporal write,2,400002c0,0,3489,0,0,3048,400,0,0,0,1,3489
25,Non-temporal write,2,40000300,0,3589,0,0,3148,400,0,0,0,1,3589
27,Non-temporal write,2,40000340,0,3689,0,0,3248,400,0,0,0,1,3689
29,Non-temporal write,2,40000380,0,3789,0,0,3348,400,0,0,0,1,3789
42,Non-temporal read,1,540,1189,3889,0,0,2433,200,0,0,0,27,2700
31,Non-temporal write,2,400003c0,0,3989,0,0,3548,400,0,0,0,1,3989
44,Non-temporal read,1,580,1389,4089,0,0,2433,200,0,0,0,27,2700
46,Non-temporal read,1,5c0,1589,4189,0,0,2333,200,0,0,0,27,2600
33,Non-temporal write,2,40000400,289,4289,0,0,3559,400,0,0,0,1,4000
35,Non-temporal write,2,40000440,489,4389,0,0,3459,400,0,0,0,1,3900
48,Non-temporal read,1,600,1789,4489,0,0,2433,200,0,0,0,27,2700
37,Non-temporal write,2,40000480,689,4589,0,0,3459,400,0,0,0,1,3900
39,Non-temporal write,2,400004c0,889,4689,0,0,3359,400,0,0,0,1,3800
41,Non-temporal write,2,40000500,1089,4789,0,0,3259,400,0,0,0,1,3700
43,Non-temporal write,2,40000540,1289,4889,0,0,3159,400,0,0,0,1,3600
45,Non-temporal write,2,40000580,1489,4989,0,0,3059,400,0,0,0,1,3500
50,Non-temporal read,1,0,1889,5089,0,0,2933,200,0,0,0,27,3200
47,Non-temporal write,2,400005c0,1689,5189,0,0,3059,400,0,0,0,1,3500
49,Non-temporal write,2,40000600,1889,5289,0,0,2959,400,0,0,0,1,3400
