id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal write,0,400000000,1000,1141,0,0,0,100,0,0,0,1,141
2,Non-temporal write,0,400000040,3000,3141,0,0,0,100,0,0,0,1,141
1,Non-temporal read,2,0,2000,2139,0,0,0,50,0,0,0,49,139
4,Non-temporal write,0,400000080,5000,5141,0,0,0,100,0,0,0,1,141
3,Non-temporal read,2,40,4000,4117,0,0,0,50,0,0,0,27,117
6,Non-temporal write,0,4000000c0,7000,7141,0,0,0,100,0,0,0,1,141
5,Non-temporal read,2,80,6000,6117,0,0,0,50,0,0,0,27,117
8,Non-temporal write,0,400000100,9000,9141,0,0,0,100,0,0,0,1,141
7,Non-temporal read,2,c0,8000,8139,0,0,0,50,0,0,0,49,139
10,Non-temporal write,0,400000140,11000,11141,0,0,0,100,0,0,0,1,141
9,Non-temporal read,2,100,10000,10117,0,0,0,50,0,0,0,27,117
12,Non-temporal write,0,400000180,13000,13141,0,0,0,100,0,0,0,1,141
11,Non-temporal read,2,140,12000,12117,0,0,0,50,0,0,0,27,117
14,Non-temporal write,0,4000001c0,15000,15141,0,0,0,100,0,0,0,1,141
13,Non-temporal read,2,180,14000,14117,0,0,0,50,0,0,0,27,117
16,Non-temporal write,0,400000200,17000,17141,0,0,0,100,0,0,0,1,141
15,Non-temporal read,2,1c0,16000,16117,0,0,0,50,0,0,0,27,117
18,Non-temporal write,0,400000240,19000,19141,0,0,0,100,0,0,0,1,141
17,Non-temporal read,2,200,18000,18117,0,0,0,50,0,0,0,27,117
20,Non-temporal write,0,400000280,21000,21141,0,0,0,100,0,0,0,1,141
19,Non-temporal read,2,240,20000,20139,0,0,0,50,0,0,0,49,139
22,Non-temporal write,0,4000002c0,23000,23141,0,0,0,100,0,0,0,1,141
21,Non-temporal read,2,280,22000,22117,0,0,0,50,0,0,0,27,117
