id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
1,Non-temporal read,2,0,0,139,0,0,0,50,0,0,0,49,139
3,Non-temporal read,2,40,0,164,0,0,42,50,0,0,0,32,164
5,Non-temporal read,2,80,0,189,0,0,72,50,0,0,0,27,189
7,Non-temporal read,2,c0,0,214,0,0,97,50,0,0,0,27,214
9,Non-temporal read,2,100,0,239,0,0,122,50,0,0,0,27,239
11,Non-temporal read,2,140,0,264,0,0,147,50,0,0,0,27,264
13,Non-temporal read,2,180,0,289,0,0,172,50,0,0,0,27,289
15,Non-temporal read,2,1c0,0,314,0,0,197,50,0,0,0,27,314
17,Non-temporal read,2,200,0,339,0,0,222,50,0,0,0,27,339
19,Non-temporal read,2,240,0,364,0,0,247,50,0,0,0,27,364
21,Non-temporal read,2,280,0,389,0,0,272,50,0,0,0,27,389
23,Non-temporal read,2,2c0,0,414,0,0,297,50,0,0,0,27,414
25,Non-temporal read,2,300,0,439,0,0,322,50,0,0,0,27,439
27,Non-temporal read,2,340,0,464,0,0,347,50,0,0,0,27,464
29,Non-temporal read,2,380,0,489,0,0,372,50,0,0,0,27,489
31,Non-temporal read,2,3c0,0,514,0,0,397,50,0,0,0,27,514
0,Non-temporal write,0,400000000,0,539,0,0,398,100,0,0,0,1,539
2,Non-temporal write,0,400000040,0,564,0,0,423,100,0,0,0,1,564
4,Non-temporal write,0,400000080,0,589,0,0,448,100,0,0,0,1,589
6,Non-temporal write,0,4000000c0,0,614,0,0,473,100,0,0,0,1,614
8,Non-temporal write,0,400000100,0,639,0,0,498,100,0,0,0,1,639
33,Non-temporal read,2,400,139,664,0,0,405,50,0,0,3,30,525
10,Non-temporal write,0,400000140,0,689,0,0,548,100,0,0,0,1,689
12,Non-temporal write,0,400000180,0,714,0,0,573,100,0,0,0,1,714
35,Non-temporal read,2,440,189,739,0,0,433,50,0,0,0,27,550
14,Non-temporal write,0,4000001c0,0,764,0,0,623,100,0,0,0,1,764
16,Non-temporal write,0,400000200,0,789,0,0,648,100,0,0,0,1,789
37,Non-temporal read,2,480,239,814,0,0,458,50,0,0,0,27,575
18,Non-temporal write,0,400000240,0,839,0,0,698,100,0,0,0,1,839
20,Non-temporal write,0,400000280,0,864,0,0,723,100,0,0,0,1,864
22,Non-temporal write,0,4000002c0,0,889,0,0,748,100,0,0,0,1,889
24,Non-temporal write,0,400000300,0,914,0,0,773,100,0,0,0,1,914
26,Non-temporal write,0,400000340,0,939,0,0,798,100,0,0,0,1,939
39,Non-temporal read,2,4c0,289,964,0,0,558,50,0,0,0,27,675
28,Non-temporal write,0,400000380,0,989,0,0,848,100,0,0,0,1,989
30,Non-temporal write,0,4000003c0,0,1014,0,0,873,100,0,0,0,1,1014
41,Non-temporal read,2,500,339,1039,0,0,580,50,0,0,3,30,700
32,Non-temporal write,0,400000400,0,1064,0,0,923,100,0,0,0,1,1064
