id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Read,5,0,12,692,423,128,0,0,0,0,0,49,680
4,Read,5,40,24,1204,945,128,0,0,0,0,0,27,1180
8,Read,5,80,36,1716,1445,128,0,0,0,0,0,27,1680
12,Read,5,c0,48,2228,1945,128,0,0,0,0,0,27,2180
16,Read,5,100,60,2740,2445,128,0,0,0,0,0,27,2680
20,Read,5,140,72,3252,2945,128,0,0,0,0,0,27,3180
24,Read,5,180,84,3764,3445,128,0,0,0,0,0,27,3680
28,Read,5,1c0,96,4276,3945,128,0,0,0,0,0,27,4180
32,Read,5,200,108,4788,4445,128,0,0,0,0,0,27,4680
36,Read,5,240,120,5300,4945,128,0,0,0,0,0,27,5180
40,Read,5,280,132,5620,5253,128,0,0,0,0,0,27,5488
44,Read,5,2c0,144,6132,5753,128,0,0,0,0,0,27,5988
48,Read,5,300,156,6644,6253,128,0,0,0,0,0,27,6488
52,Read,5,340,168,6964,6561,128,0,0,0,0,0,27,6796
57,Read,5,380,180,7476,7061,128,0,0,0,0,0,27,7296
61,Read,5,3c0,192,7988,7561,128,0,0,0,0,0,27,7796
66,Read,5,400,204,8308,7869,128,0,0,0,0,0,27,8104
70,Read,5,440,216,8628,8177,128,0,0,0,0,0,27,8412
74,Read,5,480,228,8756,8293,128,0,0,0,0,0,27,8528
79,Read,5,4c0,240,8884,8409,128,0,0,0,0,0,27,8644
83,Read,5,500,252,9012,8525,128,0,0,0,0,0,27,8760
1,Read,5,0,12,9076,3517,128,0,0,5312,0,0,27,9064
87,Read,5,540,268,9204,8701,128,0,0,0,0,0,27,8936
91,Read,5,580,276,9332,8821,128,0,0,0,0,0,27,9056
95,Read,5,5c0,288,9460,8937,128,0,0,0,0,0,27,9172
99,Read,5,600,300,9588,8554,128,0,0,0,0,0,526,9288
103,Read,5,640,312,9716,8918,128,0,0,0,0,0,278,9404
2,Read,5,0,12,9780,2938,128,0,0,6592,0,0,30,9768
107,Read,5,680,324,9908,9349,128,0,0,0,0,0,27,9584
111,Read,5,6c0,336,10036,9465,128,0,0,0,0,0,27,9700
115,Read,5,700,348,10164,9581,128,0,0,0,0,0,27,9816
119,Read,5,740,360,10292,9697,128,0,0,0,0,0,27,9932
124,Read,5,780,372,10420,9813,128,0,0,0,0,0,27,10048
3,Read,5,0,12,10484,2365,128,0,0,7872,0,0,27,10472
128,Read,5,7c0,384,10612,9993,128,0,0,0,0,0,27,10228
5,Read,5,40,24,10676,2353,128,0,0,8064,0,0,27,10652
6,Read,5,40,24,10740,2417,128,0,0,8064,0,0,27,10716
7,Read,5,40,24,10804,2481,128,0,0,8064,0,0,27,10780
9,Read,5,80,36,10868,2597,128,0,0,8000,0,0,27,10832
10,Read,5,80,36,10932,2661,128,0,0,8000,0,0,27,10896
11,Read,5,80,36,10996,2725,128,0,0,8000,0,0,27,10960
13,Read,5,c0,48,11060,2777,128,0,0,8000,0,0,27,11012
14,Read,5,c0,48,11124,2777,128,0,0,8064,0,0,27,11076
15,Read,5,c0,48,11188,2777,128,0,0,8128,0,0,27,11140
17,Read,5,100,60,11252,2829,128,0,0,8128,0,0,27,11192
18,Read,5,100,60,11316,2829,128,0,0,8192,0,0,27,11256
19,Read,5,100,60,11380,2829,128,0,0,8256,0,0,27,11320
21,Read,5,140,72,11444,2881,128,0,0,8256,0,0,27,11372
22,Read,5,140,72,11508,2881,128,0,0,8320,0,0,27,11436
23,Read,5,140,72,11572,2881,128,0,0,8384,0,0,27,11500
25,Read,5,180,84,11636,2933,128,0,0,8384,0,0,27,11552
26,Read,5,180,84,11700,2933,128,0,0,8448,0,0,27,11616
27,Read,5,180,84,11764,2933,128,0,0,8512,0,0,27,11680
29,Read,5,1c0,96,11828,2921,128,0,0,8576,0,0,27,11732
30,Read,5,1c0,96,11892,2857,128,0,0,8704,0,0,27,11796
31,Read,5,1c0,96,11956,2793,128,0,0,8832,0,0,27,11860
33,Read,5,200,108,12020,2781,128,0,0,8896,0,0,27,11912
34,Read,5,200,108,12084,2717,128,0,0,9024,0,0,27,11976
35,Read,5,200,108,12148,2653,128,0,0,9152,0,0,27,12040
37,Read,5,240,120,12212,2641,128,0,0,9216,0,0,27,12092
38,Read,5,240,120,12276,2577,128,0,0,9344,0,0,27,12156
39,Read,5,240,120,12340,2513,128,0,0,9472,0,0,27,12220
41,Read,5,280,132,12407,2504,128,0,0,9536,0,0,27,12275
42,Read,5,280,132,12599,2568,128,0,0,9664,0,0,27,12467
43,Read,5,280,132,12791,2632,128,0,0,9792,0,0,27,12659
170,Read,5,800,2956,13047,9856,128,0,0,0,0,0,27,10091
45,Read,5,2c0,144,13239,2748,128,0,0,10112,0,0,27,13095
46,Read,5,2c0,144,13431,2812,128,0,0,10240,0,0,27,13287
47,Read,5,2c0,144,13623,2876,128,0,0,10368,0,0,27,13479
49,Read,5,300,156,13815,2992,128,0,0,10432,0,0,27,13659
50,Read,5,300,156,14007,3056,128,0,0,10560,0,0,27,13851
51,Read,5,300,156,14199,3120,128,0,0,10688,0,0,27,14043
53,Read,5,340,168,14391,3236,128,0,0,10752,0,0,27,14223
54,Read,5,340,168,14583,3300,128,0,0,10880,0,0,27,14415
55,Read,5,340,168,14775,3364,128,0,0,11008,0,0,27,14607
58,Read,5,380,180,14967,3480,128,0,0,11072,0,0,27,14787
59,Read,5,380,180,15159,3544,128,0,0,11200,0,0,27,14979
60,Read,5,380,180,15351,3608,128,0,0,11328,0,0,27,15171
62,Read,5,3c0,192,15543,3724,128,0,0,11392,0,0,27,15351
63,Read,5,3c0,192,15735,3788,128,0,0,11520,0,0,27,15543
64,Read,5,3c0,192,15927,3852,128,0,0,11648,0,0,27,15735
67,Read,5,400,204,16119,3968,128,0,0,11712,0,0,27,15915
68,Read,5,400,204,16311,4032,128,0,0,11840,0,0,27,16107
69,Read,5,400,204,16503,4096,128,0,0,11968,0,0,27,16299
71,Read,5,440,216,16695,4212,128,0,0,12032,0,0,27,16479
72,Read,5,440,216,16887,4276,128,0,0,12160,0,0,27,16671
73,Read,5,440,216,17079,4340,128,0,0,12288,0,0,27,16863
75,Read,5,480,228,17271,4456,128,0,0,12352,0,0,27,17043
76,Read,5,480,228,17463,4520,128,0,0,12480,0,0,27,17235
77,Read,5,480,228,17655,4584,128,0,0,12608,0,0,27,17427
80,Read,5,4c0,240,17847,4700,128,0,0,12672,0,0,27,17607
81,Read,5,4c0,240,18039,4764,128,0,0,12800,0,0,27,17799
82,Read,5,4c0,240,18231,4828,128,0,0,12928,0,0,27,17991
84,Read,5,500,252,18423,4944,128,0,0,12992,0,0,27,18171
85,Read,5,500,252,18615,5008,128,0,0,13120,0,0,27,18363
86,Read,5,500,252,18807,5072,128,0,0,13248,0,0,27,18555
88,Read,5,540,264,19434,5252,128,0,0,13248,0,0,462,19170
89,Read,5,540,264,19498,5380,128,0,0,13376,0,0,270,19234
90,Read,5,540,264,19562,5508,128,0,0,13504,0,0,78,19298
92,Read,5,580,276,19626,5547,128,0,0,13568,0,0,27,19350
93,Read,5,580,276,19767,5560,128,0,0,13696,0,0,27,19491
96,Read,5,5c0,288,20151,5740,128,0,0,13888,0,0,27,19863
97,Read,5,5c0,288,20343,5804,128,0,0,14016,0,0,27,20055
100,Read,5,600,300,20727,5984,128,0,0,14208,0,0,27,20427
101,Read,5,600,300,20919,6048,128,0,0,14336,0,0,27,20619
104,Read,5,640,312,21303,6228,128,0,0,14528,0,0,27,20991
105,Read,5,640,312,21495,6292,128,0,0,14656,0,0,27,21183
108,Read,5,680,324,21879,6536,128,0,0,14784,0,0,27,21555
109,Read,5,680,324,22071,6600,128,0,0,14912,0,0,27,21747
112,Read,5,6c0,336,22455,6780,128,0,0,15104,0,0,27,22119
113,Read,5,6c0,336,22647,6844,128,0,0,15232,0,0,27,22311
94,Read,5,580,280,19959,5620,128,0,0,13824,0,0,27,19679
116,Read,5,700,348,23287,7024,128,0,0,15680,0,0,27,22939
117,Read,5,700,348,23479,7088,128,0,0,15808,0,0,27,23131
98,Read,5,5c0,292,20535,5864,128,0,0,14144,0,0,27,20243
102,Read,5,600,304,21111,6108,128,0,0,14464,0,0,27,20807
106,Read,5,640,316,21687,6352,128,0,0,14784,0,0,27,21371
110,Read,5,680,332,22263,6656,128,0,0,15040,0,0,27,21931
231,Read,5,840,5836,22967,16896,128,0,0,0,0,0,27,17131
114,Read,5,6c0,344,23095,6900,128,0,0,15616,0,0,27,22751
120,Read,5,740,360,24887,7268,128,0,0,17024,0,0,27,24527
121,Read,5,740,360,25079,7332,128,0,0,17152,0,0,27,24719
233,Read,5,880,5848,23799,17716,128,0,0,0,0,0,27,17951
118,Read,5,700,356,23927,7144,128,0,0,16192,0,0,27,23571
234,Read,5,8c0,5860,24247,18152,128,0,0,0,0,0,27,18387
235,Read,5,900,5872,24503,18396,128,0,0,0,0,0,27,18631
237,Read,5,940,5884,24759,18640,128,0,0,0,0,0,27,18875
125,Read,5,780,372,26295,7512,128,0,0,18176,0,0,27,25923
239,Read,5,980,5896,25399,19268,128,0,0,0,0,0,27,19503
126,Read,5,780,372,26807,7576,128,0,0,18624,0,0,27,26435
123,Read,5,740,368,25527,7388,128,0,0,17536,0,0,27,25159
241,Read,5,9c0,5908,25847,19704,128,0,0,0,0,0,27,19939
242,Read,5,a00,5920,26167,20012,128,0,0,0,0,0,27,20247
243,Read,5,a40,5932,26679,20512,128,0,0,0,0,0,27,20747
127,Read,5,780,380,26999,7632,128,0,0,18752,0,0,27,26619
129,Read,5,7c0,384,27831,7820,128,0,0,19392,0,0,27,27447
246,Read,5,a80,5944,27383,21204,128,0,0,0,0,0,27,21439
130,Read,5,7c0,384,28023,7884,128,0,0,19520,0,0,27,27639
247,Read,5,ac0,5956,27703,21512,128,0,0,0,0,0,27,21747
131,Read,5,7c0,396,28215,7936,128,0,0,19648,0,0,27,27819
249,Read,5,b00,6412,28599,21952,128,0,0,0,0,0,27,22187
251,Read,5,b40,6924,28919,21760,128,0,0,0,0,0,27,21995
253,Read,5,b80,7244,29239,21760,128,0,0,0,0,0,27,21995
255,Read,5,bc0,7756,29559,21568,128,0,0,0,0,0,27,21803
257,Read,5,c00,8268,29879,21376,128,0,0,0,0,0,27,21611
259,Read,5,c40,8588,30199,21376,128,0,0,0,0,0,27,21611
261,Read,5,c80,8716,30519,21568,128,0,0,0,0,0,27,21803
263,Read,5,cc0,8844,30839,21760,128,0,0,0,0,0,27,21995
265,Read,5,d00,8972,31284,22077,128,0,0,0,0,0,27,22312
266,Read,5,800,8524,32756,22525,128,0,0,1472,0,0,27,24232
268,Read,5,d40,9164,32052,22346,128,0,0,0,0,0,334,22888
277,Read,5,800,396,33207,32576,128,0,0,0,0,0,27,32811
288,Read,5,800,396,34807,34176,128,0,0,0,0,0,27,34411
321,Read,5,d80,9216,37620,28169,128,0,0,0,0,0,27,28404
328,Read,5,dc0,13827,38004,23942,128,0,0,0,0,0,27,24177
331,Read,5,e00,14403,38388,23750,128,0,0,0,0,0,27,23985
337,Read,5,e40,14979,38772,23558,128,0,0,0,0,0,27,23793
343,Read,5,e80,15555,39092,23302,128,0,0,0,0,0,27,23537
346,Read,5,ec0,16131,39220,22854,128,0,0,0,0,0,27,23089
354,Read,5,f00,16707,39540,22598,128,0,0,0,0,0,27,22833
357,Read,5,f40,17283,39668,22150,128,0,0,0,0,0,27,22385
366,Read,5,f80,17859,39796,21702,128,0,0,0,0,0,27,21937
374,Read,5,fc0,18435,40052,21382,128,0,0,0,0,0,27,21617
270,Read,5,840,9292,40116,23293,128,0,0,7296,0,0,27,30824
272,Read,5,880,9420,40180,23605,128,0,0,6912,0,0,35,30760
274,Read,5,8c0,9548,40244,23917,128,0,0,6528,0,0,43,30696
276,Read,5,900,9676,40308,24229,128,0,0,6144,0,0,51,30632
279,Read,5,940,9868,40372,24477,128,0,0,5760,0,0,59,30504
281,Read,5,980,9996,40436,24725,128,0,0,5440,0,0,67,30440
283,Read,5,9c0,10124,40500,24973,128,0,0,5120,0,0,75,30376
285,Read,5,a00,10252,40564,25221,128,0,0,4800,0,0,83,30312
292,Read,5,840,9792,40628,26121,128,0,0,4480,0,0,27,30836
295,Read,5,880,10752,40692,25409,128,0,0,4288,0,0,35,29940
298,Read,5,8c0,10944,40884,25593,128,0,0,4096,0,0,43,29940
301,Read,5,900,11136,40948,25649,128,0,0,3904,0,0,51,29812
304,Read,5,940,11328,41012,25705,128,0,0,3712,0,0,59,29684
307,Read,5,980,11520,41076,25761,128,0,0,3520,0,0,67,29556
310,Read,5,9c0,11712,41268,25945,128,0,0,3328,0,0,75,29556
313,Read,5,a00,11904,41332,26001,128,0,0,3136,0,0,83,29428
287,Read,5,a40,10380,41396,25789,128,0,0,4928,0,0,91,31016
293,Read,5,840,10496,41460,26121,128,0,0,4608,0,0,27,30964
296,Read,5,880,10816,41524,26049,128,0,0,4416,0,0,35,30708
299,Read,5,8c0,11008,41588,26105,128,0,0,4224,0,0,43,30580
302,Read,5,900,11200,41652,26161,128,0,0,4032,0,0,51,30452
305,Read,5,940,11392,41716,26217,128,0,0,3840,0,0,59,30324
308,Read,5,980,11584,41780,26273,128,0,0,3648,0,0,67,30196
311,Read,5,9c0,11776,41844,26329,128,0,0,3456,0,0,75,30068
314,Read,5,a00,11968,41908,26385,128,0,0,3264,0,0,83,29940
316,Read,5,a40,12096,41972,26441,128,0,0,3136,0,0,91,29876
290,Read,5,a80,10572,42036,26357,128,0,0,4800,0,0,99,31464
317,Read,5,a40,12160,42100,26249,128,0,0,3456,0,0,27,29940
319,Read,5,a80,12288,42292,26433,128,0,0,3328,0,0,35,30004
291,Read,5,ac0,10624,42356,26361,128,0,0,5120,0,0,43,31732
320,Read,5,a80,12352,42420,26313,128,0,0,3520,0,0,27,30068
323,Read,5,ac0,12611,42484,26302,128,0,0,3328,0,0,35,29873
294,Read,5,b00,10688,42548,26425,128,0,0,5184,0,0,43,31860
324,Read,5,ac0,12803,42612,26054,128,0,0,3520,0,0,27,29809
326,Read,5,b00,13443,42676,25598,128,0,0,3392,0,0,35,29233
297,Read,5,b40,10880,42740,26361,128,0,0,5248,0,0,43,31860
327,Read,5,b00,13635,42804,25222,128,0,0,3712,0,0,27,29169
329,Read,5,b40,14019,42868,25022,128,0,0,3584,0,0,35,28849
300,Read,5,b80,11072,43060,26297,128,0,0,5440,0,0,43,31988
330,Read,5,b40,14211,43124,24774,128,0,0,3904,0,0,27,28913
334,Read,5,b80,14595,43188,24574,128,0,0,3776,0,0,35,28593
303,Read,5,bc0,11264,43252,26105,128,0,0,5632,0,0,43,31988
335,Read,5,b80,14787,43316,24262,128,0,0,4032,0,0,27,28529
338,Read,5,bc0,15171,43380,24062,128,0,0,3904,0,0,35,28209
306,Read,5,c00,11456,43508,26041,128,0,0,5760,0,0,43,32052
339,Read,5,bc0,15363,43572,23814,128,0,0,4160,0,0,27,28209
344,Read,5,c00,15747,43636,23614,128,0,0,4032,0,0,35,27889
309,Read,5,c40,11648,43700,25913,128,0,0,5888,0,0,43,32052
345,Read,5,c00,15939,43764,23174,128,0,0,4416,0,0,27,27825
349,Read,5,c40,16323,43828,22974,128,0,0,4288,0,0,35,27505
312,Read,5,c80,11840,43892,25657,128,0,0,6144,0,0,43,32052
353,Read,5,c40,16515,43956,22662,128,0,0,4544,0,0,27,27441
355,Read,5,c80,16899,44148,22590,128,0,0,4416,0,0,35,27249
315,Read,5,cc0,12032,44212,25657,128,0,0,6272,0,0,43,32180
356,Read,5,c80,17091,44404,21267,128,0,0,5248,0,0,590,27313
363,Read,5,cc0,17475,44468,21067,128,0,0,5120,0,0,598,26993
318,Read,5,d00,12224,44532,24518,128,0,0,6976,0,0,606,32308
365,Read,5,cc0,17667,44788,20934,128,0,0,5952,0,0,27,27121
368,Read,5,d00,18051,44852,20734,128,0,0,5824,0,0,35,26801
322,Read,5,d40,12419,44916,24630,128,0,0,7616,0,0,43,32497
373,Read,5,d00,18243,45559,20489,128,0,0,6592,0,0,27,27316
375,Read,5,d40,18627,45623,20289,128,0,0,6464,0,0,35,26996
376,Read,5,d40,18819,47095,20297,128,0,0,7744,0,0,27,28276
424,Read,5,1000,35928,47735,11572,128,0,0,0,0,0,27,11807
426,Read,5,1040,35940,47991,11816,128,0,0,0,0,0,27,12051
427,Read,5,1080,35980,48567,12352,128,0,0,0,0,0,27,12587
429,Read,5,10c0,35992,48951,12724,128,0,0,0,0,0,27,12959
434,Read,5,1100,36172,49847,13440,128,0,0,0,0,0,27,13675
435,Read,5,1140,36184,50167,13748,128,0,0,0,0,0,27,13983
437,Read,5,1180,36196,50551,14120,128,0,0,0,0,0,27,14355
439,Read,5,11c0,36236,51191,14720,128,0,0,0,0,0,27,14955
441,Read,5,1200,36248,51255,14772,128,0,0,0,0,0,27,15007
445,Read,5,1240,36260,51703,15208,128,0,0,0,0,0,27,15443
448,Read,5,1280,36272,52151,15644,128,0,0,0,0,0,27,15879
451,Read,5,12c0,36492,53303,16576,128,0,0,0,0,0,27,16811
454,Read,5,1300,36684,54519,17600,128,0,0,0,0,0,27,17835
458,Read,5,1340,36876,55735,18624,128,0,0,0,0,0,27,18859
460,Read,5,1380,36888,56119,18996,128,0,0,0,0,0,27,19231
325,Read,5,d80,13251,56874,23817,128,0,0,19456,0,0,142,43623
463,Read,5,13c0,36940,56938,19704,128,0,0,0,0,0,86,19998
377,Read,5,d80,19510,57015,19670,128,0,0,17600,0,0,27,37505
378,Read,5,d80,19574,57591,19670,128,0,0,18112,0,0,27,38017
467,Read,5,1400,37132,57655,20288,128,0,0,0,0,0,27,20523
469,Read,5,1440,37324,58807,21248,128,0,0,0,0,0,27,21483
381,Read,5,dc0,19638,59703,20054,128,0,0,19776,0,0,27,40065
472,Read,5,1480,37516,59767,22016,128,0,0,0,0,0,27,22251
382,Read,5,dc0,19779,60023,19977,128,0,0,20032,0,0,27,40244
474,Read,5,14c0,37528,60087,22324,128,0,0,0,0,0,27,22559
401,Read,5,dc0,35212,60663,8064,128,0,0,17152,0,0,27,25451
387,Read,5,e00,20163,60727,20481,128,0,0,19840,0,0,35,40564
478,Read,5,1500,37580,60791,22976,128,0,0,0,0,0,27,23211
388,Read,5,e00,20355,62004,20358,128,0,0,21056,0,0,27,41649
390,Read,5,e40,20739,62132,20414,128,0,0,20736,0,0,35,41393
482,Read,5,1540,37900,62196,24061,128,0,0,0,0,0,27,24296
408,Read,5,e00,35404,62839,8768,128,0,0,18432,0,0,27,27435
391,Read,5,e40,20931,63479,20105,128,0,0,22208,0,0,27,42548
410,Read,5,e40,35468,63799,9088,128,0,0,19008,0,0,27,28331
394,Read,5,e80,21315,64119,20681,128,0,0,21888,0,0,27,42804
395,Read,5,e80,21507,64439,20553,128,0,0,22144,0,0,27,42932
400,Read,5,ec0,22083,65079,20745,128,0,0,22016,0,0,27,42996
397,Read,5,ec0,21891,64823,20929,128,0,0,21760,0,0,35,42932
412,Read,5,e80,35532,64759,9280,128,0,0,19712,0,0,27,29227
403,Read,5,f00,22467,65463,21441,128,0,0,21312,0,0,35,42996
414,Read,5,ec0,35724,65399,9920,128,0,0,19520,0,0,27,29675
405,Read,5,f00,22659,65719,21257,128,0,0,21568,0,0,27,43060
419,Read,5,f40,23299,66359,23177,128,0,0,19648,0,0,27,43060
420,Read,5,f40,23491,66679,23049,128,0,0,19904,0,0,27,43188
428,Read,5,f80,24899,66999,23753,128,0,0,18112,0,0,27,42100
433,Read,5,f80,25091,67319,24457,128,0,0,17536,0,0,27,42228
417,Read,5,f00,35788,66039,10368,128,0,0,19648,0,0,27,30251
418,Read,5,f40,35800,66103,10476,128,0,0,19584,0,0,35,30303
421,Read,5,f80,35812,66743,10848,128,0,0,19840,0,0,35,30931
423,Read,5,fc0,35916,67383,11320,128,0,0,19904,0,0,35,31467
443,Read,5,fc0,26307,67639,25097,128,0,0,16000,0,0,27,41332
447,Read,5,fc0,26819,67959,25033,128,0,0,15872,0,0,27,41140
483,Read,5,1000,27843,73591,34057,128,0,0,11456,0,0,27,45748
487,Read,5,1000,28035,73911,34249,128,0,0,11392,0,0,27,45876
481,Read,5,1000,19446,73335,42326,128,0,0,11328,0,0,27,53889
555,Read,5,1040,33219,77431,43977,128,0,0,0,0,0,27,44212
556,Read,5,1080,40640,77495,36620,128,0,0,0,0,0,27,36855
527,Read,5,1580,39436,72397,32704,128,0,0,0,0,0,49,32961
557,Read,5,10c0,40704,77559,36620,128,0,0,0,0,0,27,36855
558,Read,5,1100,40896,77623,36492,128,0,0,0,0,0,27,36727
559,Read,5,1140,40960,77687,36492,128,0,0,0,0,0,27,36727
536,Read,5,1040,52044,74487,22208,128,0,0,0,0,0,27,22443
560,Read,5,1180,41024,79284,38025,128,0,0,0,0,0,27,38260
561,Read,5,11c0,41088,79476,38153,128,0,0,0,0,0,27,38388
538,Read,5,1080,52056,74743,22452,128,0,0,0,0,0,27,22687
540,Read,5,10c0,52068,74999,22696,128,0,0,0,0,0,27,22931
541,Read,5,1100,52080,75255,22940,128,0,0,0,0,0,27,23175
542,Read,5,1140,52092,75575,23248,128,0,0,0,0,0,27,23483
543,Read,5,1180,52104,75895,23556,128,0,0,0,0,0,27,23791
544,Read,5,11c0,52116,76215,23864,128,0,0,0,0,0,27,24099
585,Read,5,15c0,52308,79860,27317,128,0,0,0,0,0,27,27552
588,Read,5,1600,52320,80244,27689,128,0,0,0,0,0,27,27924
