id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
15,Non-temporal read,7,0,0,139,0,0,0,50,0,0,0,49,139
0,Non-temporal read,4,0,0,139,0,0,0,50,0,0,0,49,139
5,Non-temporal read,5,0,0,139,0,0,0,50,0,0,0,49,139
10,Non-temporal read,6,0,0,139,0,0,0,50,0,0,0,49,139
31,Non-temporal read,7,40,0,217,0,0,100,50,0,0,0,27,217
16,Non-temporal read,4,40,0,217,0,0,100,50,0,0,0,27,217
21,Non-temporal read,5,40,0,217,0,0,100,50,0,0,0,27,217
26,Non-temporal read,6,40,0,217,0,0,100,50,0,0,0,27,217
47,Non-temporal read,7,80,0,292,0,0,175,50,0,0,0,27,292
32,Non-temporal read,4,80,0,292,0,0,175,50,0,0,0,27,292
37,Non-temporal read,5,80,0,317,0,0,200,50,0,0,0,27,317
42,Non-temporal read,6,80,0,317,0,0,200,50,0,0,0,27,317
63,Non-temporal read,7,c0,0,342,0,0,225,50,0,0,0,27,342
48,Non-temporal read,4,c0,0,342,0,0,225,50,0,0,0,27,342
53,Non-temporal read,5,c0,0,342,0,0,225,50,0,0,0,27,342
58,Non-temporal read,6,c0,0,342,0,0,225,50,0,0,0,27,342
64,Non-temporal read,4,100,0,442,0,0,325,50,0,0,0,27,442
74,Non-temporal read,6,100,0,442,0,0,325,50,0,0,0,27,442
79,Non-temporal read,7,100,0,442,0,0,325,50,0,0,0,27,442
69,Non-temporal read,5,100,0,442,0,0,325,50,0,0,0,27,442
95,Non-temporal read,7,140,0,492,0,0,375,50,0,0,0,27,492
111,Non-temporal read,7,180,0,567,0,0,450,50,0,0,0,27,567
90,Non-temporal read,6,140,0,517,0,0,400,50,0,0,0,27,517
80,Non-temporal read,4,140,0,542,0,0,425,50,0,0,0,27,542
85,Non-temporal read,5,140,0,517,0,0,400,50,0,0,0,27,517
96,Non-temporal read,4,180,0,592,0,0,475,50,0,0,0,27,592
106,Non-temporal read,6,180,0,567,0,0,450,50,0,0,0,27,567
3,Non-temporal read,4,0,0,250,0,0,83,100,0,0,0,27,250
11,Non-temporal read,6,0,0,317,0,0,145,100,0,0,0,32,317
12,Non-temporal read,7,0,0,250,0,0,83,100,0,0,0,27,250
101,Non-temporal read,5,180,0,592,0,0,475,50,0,0,0,27,592
14,Non-temporal read,7,0,0,250,0,0,78,100,0,0,0,32,250
112,Non-temporal read,4,1c0,0,667,0,0,550,50,0,0,0,27,667
4,Non-temporal read,5,0,0,317,0,0,145,100,0,0,0,32,317
122,Non-temporal read,6,1c0,0,667,0,0,550,50,0,0,0,27,667
2,Non-temporal read,4,0,0,275,0,0,108,100,0,0,0,27,275
7,Non-temporal read,5,0,0,367,0,0,200,100,0,0,0,27,367
13,Non-temporal read,7,0,0,250,0,0,83,100,0,0,0,27,250
117,Non-temporal read,5,1c0,0,667,0,0,550,50,0,0,0,27,667
1,Non-temporal read,4,0,0,275,0,0,103,100,0,0,0,32,275
8,Non-temporal read,6,0,0,367,0,0,200,100,0,0,0,27,367
127,Non-temporal read,7,1c0,0,667,0,0,550,50,0,0,0,27,667
9,Non-temporal read,6,0,0,367,0,0,200,100,0,0,0,27,367
6,Non-temporal read,5,0,0,367,0,0,200,100,0,0,0,27,367
19,Non-temporal read,4,40,0,392,0,0,225,100,0,0,0,27,392
