param,param_value,mode,wall_time_ns,effective_bw_gbps,agg_bw_gbps
transfer_size,256,dcs,2614,78.3474,
transfer_size,256,baseline,,,2.34604
transfer_size,1024,dcs,2614,78.3474,
transfer_size,1024,baseline,,,2.34604
transfer_size,4096,dcs,2614,78.3474,
transfer_size,4096,baseline,,,2.34604
transfer_size,16384,dcs,10114,80.9966,
transfer_size,16384,baseline,,,2.50293
transfer_size,65536,dcs,40119,81.677,
transfer_size,65536,baseline,,,2.54233
max_outstanding,8,dcs,2614,78.3474,
max_outstanding,8,baseline,,,2.34604
max_outstanding,16,dcs,2614,78.3474,
max_outstanding,16,baseline,,,2.34604
max_outstanding,32,dcs,2614,78.3474,
max_outstanding,32,baseline,,,2.34604
max_outstanding,64,dcs,2614,78.3474,
max_outstanding,64,baseline,,,2.26308
switch_delay,10,dcs,1099,186.351,
switch_delay,10,baseline,,,5.52677
switch_delay,25,dcs,2614,78.3474,
switch_delay,25,baseline,,,2.34604
switch_delay,50,dcs,5139,39.8521,
switch_delay,50,baseline,,,1.19003
switch_delay,100,dcs,10189,20.1001,
switch_delay,100,baseline,,,0.605029
