id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal write,1,100000000,0,91,0,0,0,50,0,0,0,1,91
1,Non-temporal write,2,300000000,0,116,0,0,25,50,0,0,0,1,116
4,Non-temporal write,1,100000040,0,141,0,0,50,50,0,0,0,1,141
5,Non-temporal write,2,300000040,91,182,0,0,0,50,0,0,0,1,91
2,Non-temporal read,3,0,0,599,0,0,0,50,0,0,0,49,599
3,Non-temporal read,4,200000000,0,624,0,0,25,50,0,0,0,49,624
8,Non-temporal write,1,100000080,182,273,0,0,0,50,0,0,0,1,91
6,Non-temporal read,3,40,116,693,0,0,0,50,0,0,0,27,577
9,Non-temporal write,2,300000080,599,718,0,0,28,50,0,0,0,1,119
7,Non-temporal read,4,200000040,141,743,0,0,25,50,0,0,0,27,602
12,Non-temporal write,1,1000000c0,693,784,0,0,0,50,0,0,0,1,91
13,Non-temporal write,2,3000000c0,718,809,0,0,0,50,0,0,0,1,91
10,Non-temporal read,3,80,599,1176,0,0,0,50,0,0,0,27,577
11,Non-temporal read,4,200000080,599,1201,0,0,25,50,0,0,0,27,602
16,Non-temporal write,1,100000100,809,900,0,0,0,50,0,0,0,1,91
14,Non-temporal read,3,c0,743,1320,0,0,0,50,0,0,0,27,577
17,Non-temporal write,2,300000100,1176,1267,0,0,0,50,0,0,0,1,91
15,Non-temporal read,4,2000000c0,784,1361,0,0,0,50,0,0,0,27,577
20,Non-temporal write,1,100000140,1176,1292,0,0,25,50,0,0,0,1,116
18,Non-temporal read,3,100,1176,1753,0,0,0,50,0,0,0,27,577
21,Non-temporal write,2,300000140,1267,1386,0,0,28,50,0,0,0,1,119
19,Non-temporal read,4,200000100,1176,1778,0,0,25,50,0,0,0,27,602
24,Non-temporal write,1,100000180,1292,1411,0,0,28,50,0,0,0,1,119
22,Non-temporal read,3,140,1267,1844,0,0,0,50,0,0,0,27,577
25,Non-temporal write,2,300000180,1386,1477,0,0,0,50,0,0,0,1,91
23,Non-temporal read,4,200000140,1292,1869,0,0,0,50,0,0,0,27,577
28,Non-temporal write,1,1000001c0,1411,1502,0,0,0,50,0,0,0,1,91
26,Non-temporal read,3,180,1386,1963,0,0,0,50,0,0,0,27,577
29,Non-temporal write,2,3000001c0,1477,1568,0,0,0,50,0,0,0,1,91
27,Non-temporal read,4,200000180,1411,1988,0,0,0,50,0,0,0,27,577
32,Non-temporal write,1,100000200,1502,1593,0,0,0,50,0,0,0,1,91
30,Non-temporal read,3,1c0,1477,2054,0,0,0,50,0,0,0,27,577
33,Non-temporal write,2,300000200,1568,1659,0,0,0,50,0,0,0,1,91
31,Non-temporal read,4,2000001c0,1502,2079,0,0,0,50,0,0,0,27,577
36,Non-temporal write,1,100000240,1593,1684,0,0,0,50,0,0,0,1,91
34,Non-temporal read,3,200,1568,2145,0,0,0,50,0,0,0,27,577
37,Non-temporal write,2,300000240,1659,1803,0,0,53,50,0,0,0,1,144
35,Non-temporal read,4,200000200,1593,2170,0,0,0,50,0,0,0,27,577
40,Non-temporal write,1,100000280,1684,1894,0,0,119,50,0,0,0,1,210
38,Non-temporal read,3,240,1659,2236,0,0,0,50,0,0,0,27,577
41,Non-temporal write,2,300000280,1803,1919,0,0,25,50,0,0,0,1,116
39,Non-temporal read,4,200000240,1684,2261,0,0,0,50,0,0,0,27,577
44,Non-temporal write,1,1000002c0,1894,2013,0,0,28,50,0,0,0,1,119
