id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal write,1,100000000,100,191,0,0,0,50,0,0,0,1,91
2,Non-temporal write,1,100000040,300,391,0,0,0,50,0,0,0,1,91
1,Non-temporal read,2,0,200,799,0,0,0,50,0,0,0,49,599
4,Non-temporal write,1,100000080,500,591,0,0,0,50,0,0,0,1,91
3,Non-temporal read,2,40,400,977,0,0,0,50,0,0,0,27,577
6,Non-temporal write,1,1000000c0,700,824,0,0,33,50,0,0,0,1,124
5,Non-temporal read,2,80,600,1177,0,0,0,50,0,0,0,27,577
8,Non-temporal write,1,100000100,900,1002,0,0,11,50,0,0,0,1,102
7,Non-temporal read,2,c0,800,1377,0,0,0,50,0,0,0,27,577
10,Non-temporal write,1,100000140,1100,1202,0,0,11,50,0,0,0,1,102
9,Non-temporal read,2,100,1000,1577,0,0,0,50,0,0,0,27,577
12,Non-temporal write,1,100000180,1300,1402,0,0,11,50,0,0,0,1,102
11,Non-temporal read,2,140,1200,1777,0,0,0,50,0,0,0,27,577
14,Non-temporal write,1,1000001c0,1500,1602,0,0,11,50,0,0,0,1,102
13,Non-temporal read,2,180,1400,1977,0,0,0,50,0,0,0,27,577
16,Non-temporal write,1,100000200,1700,1802,0,0,11,50,0,0,0,1,102
15,Non-temporal read,2,1c0,1600,2177,0,0,0,50,0,0,0,27,577
18,Non-temporal write,1,100000240,1900,2002,0,0,11,50,0,0,0,1,102
17,Non-temporal read,2,200,1800,2377,0,0,0,50,0,0,0,27,577
20,Non-temporal write,1,100000280,2100,2202,0,0,11,50,0,0,0,1,102
19,Non-temporal read,2,240,2000,2577,0,0,0,50,0,0,0,27,577
22,Non-temporal write,1,1000002c0,2300,2402,0,0,11,50,0,0,0,1,102
21,Non-temporal read,2,280,2200,2777,0,0,0,50,0,0,0,27,577
24,Non-temporal write,1,100000300,2500,2602,0,0,11,50,0,0,0,1,102
23,Non-temporal read,2,2c0,2400,2977,0,0,0,50,0,0,0,27,577
26,Non-temporal write,1,100000340,2700,2802,0,0,11,50,0,0,0,1,102
25,Non-temporal read,2,300,2600,3177,0,0,0,50,0,0,0,27,577
28,Non-temporal write,1,100000380,2900,3002,0,0,11,50,0,0,0,1,102
27,Non-temporal read,2,340,2800,3377,0,0,0,50,0,0,0,27,577
30,Non-temporal write,1,1000003c0,3100,3202,0,0,11,50,0,0,0,1,102
29,Non-temporal read,2,380,3000,3577,0,0,0,50,0,0,0,27,577
32,Non-temporal write,1,100000400,3300,3402,0,0,11,50,0,0,0,1,102
31,Non-temporal read,2,3c0,3200,3777,0,0,0,50,0,0,0,27,577
34,Non-temporal write,1,100000440,3500,3602,0,0,11,50,0,0,0,1,102
33,Non-temporal read,2,400,3400,3977,0,0,0,50,0,0,0,27,577
36,Non-temporal write,1,100000480,3700,3802,0,0,11,50,0,0,0,1,102
35,Non-temporal read,2,440,3600,4177,0,0,0,50,0,0,0,27,577
38,Non-temporal write,1,1000004c0,3900,4002,0,0,11,50,0,0,0,1,102
37,Non-temporal read,2,480,3800,4377,0,0,0,50,0,0,0,27,577
40,Non-temporal write,1,100000500,4100,4202,0,0,11,50,0,0,0,1,102
39,Non-temporal read,2,4c0,4000,4577,0,0,0,50,0,0,0,27,577
42,Non-temporal write,1,100000540,4300,4402,0,0,11,50,0,0,0,1,102
41,Non-temporal read,2,500,4200,4777,0,0,0,50,0,0,0,27,577
44,Non-temporal write,1,100000580,4500,4602,0,0,11,50,0,0,0,1,102
43,Non-temporal read,2,540,4400,4977,0,0,0,50,0,0,0,27,577
46,Non-temporal write,1,1000005c0,4700,4802,0,0,11,50,0,0,0,1,102
45,Non-temporal read,2,580,4600,5177,0,0,0,50,0,0,0,27,577
48,Non-temporal write,1,100000600,4900,5002,0,0,11,50,0,0,0,1,102
47,Non-temporal read,2,5c0,4800,5377,0,0,0,50,0,0,0,27,577
50,Non-temporal write,1,100000640,5100,5202,0,0,11,50,0,0,0,1,102
49,Non-temporal read,2,600,5000,5577,0,0,0,50,0,0,0,27,577
52,Non-temporal write,1,100000680,5300,5402,0,0,11,50,0,0,0,1,102
51,Non-temporal read,2,640,5200,5777,0,0,0,50,0,0,0,27,577
54,Non-temporal write,1,1000006c0,5500,5602,0,0,11,50,0,0,0,1,102
53,Non-temporal read,2,680,5400,5977,0,0,0,50,0,0,0,27,577
56,Non-temporal write,1,100000700,5700,5802,0,0,11,50,0,0,0,1,102
55,Non-temporal read,2,6c0,5600,6177,0,0,0,50,0,0,0,27,577
58,Non-temporal write,1,100000740,5900,6002,0,0,11,50,0,0,0,1,102
60,Non-temporal write,1,100000780,6100,6202,0,0,11,50,0,0,0,1,102
62,Non-temporal write,1,1000007c0,6300,6391,0,0,0,50,0,0,0,1,91
57,Non-temporal read,2,700,5800,6895,0,0,0,50,0,0,0,545,1095
59,Non-temporal read,2,740,6000,6920,0,0,17,50,0,0,0,353,920
61,Non-temporal read,2,780,6200,6945,0,0,34,50,0,0,0,161,745
64,Non-temporal write,1,100000800,6500,6591,0,0,0,50,0,0,0,1,91
63,Non-temporal read,2,7c0,6400,6977,0,0,0,50,0,0,0,27,577
66,Non-temporal write,1,100000840,7095,7186,0,0,0,50,0,0,0,1,91
65,Non-temporal read,2,800,6995,7572,0,0,0,50,0,0,0,27,577
68,Non-temporal write,1,100000880,7295,7386,0,0,0,50,0,0,0,1,91
67,Non-temporal read,2,840,7195,7772,0,0,0,50,0,0,0,27,577
70,Non-temporal write,1,1000008c0,7495,7597,0,0,11,50,0,0,0,1,102
69,Non-temporal read,2,880,7395,7972,0,0,0,50,0,0,0,27,577
72,Non-temporal write,1,100000900,7695,7797,0,0,11,50,0,0,0,1,102
71,Non-temporal read,2,8c0,7595,8172,0,0,0,50,0,0,0,27,577
74,Non-temporal write,1,100000940,7895,7997,0,0,11,50,0,0,0,1,102
73,Non-temporal read,2,900,7795,8372,0,0,0,50,0,0,0,27,577
76,Non-temporal write,1,100000980,8095,8197,0,0,11,50,0,0,0,1,102
75,Non-temporal read,2,940,7995,8572,0,0,0,50,0,0,0,27,577
78,Non-temporal write,1,1000009c0,8295,8397,0,0,11,50,0,0,0,1,102
77,Non-temporal read,2,980,8195,8772,0,0,0,50,0,0,0,27,577
80,Non-temporal write,1,100000a00,8495,8597,0,0,11,50,0,0,0,1,102
79,Non-temporal read,2,9c0,8395,8972,0,0,0,50,0,0,0,27,577
82,Non-temporal write,1,100000a40,8695,8797,0,0,11,50,0,0,0,1,102
81,Non-temporal read,2,a00,8595,9172,0,0,0,50,0,0,0,27,577
84,Non-temporal write,1,100000a80,8895,8997,0,0,11,50,0,0,0,1,102
83,Non-temporal read,2,a40,8795,9372,0,0,0,50,0,0,0,27,577
86,Non-temporal write,1,100000ac0,9095,9197,0,0,11,50,0,0,0,1,102
85,Non-temporal read,2,a80,8995,9572,0,0,0,50,0,0,0,27,577
88,Non-temporal write,1,100000b00,9295,9397,0,0,11,50,0,0,0,1,102
87,Non-temporal read,2,ac0,9195,9772,0,0,0,50,0,0,0,27,577
90,Non-temporal write,1,100000b40,9495,9597,0,0,11,50,0,0,0,1,102
89,Non-temporal read,2,b00,9395,9972,0,0,0,50,0,0,0,27,577
92,Non-temporal write,1,100000b80,9695,9797,0,0,11,50,0,0,0,1,102
91,Non-temporal read,2,b40,9595,10172,0,0,0,50,0,0,0,27,577
94,Non-temporal write,1,100000bc0,9895,9997,0,0,11,50,0,0,0,1,102
93,Non-temporal read,2,b80,9795,10372,0,0,0,50,0,0,0,27,577
96,Non-temporal write,1,100000c00,10095,10197,0,0,11,50,0,0,0,1,102
95,Non-temporal read,2,bc0,9995,10572,0,0,0,50,0,0,0,27,577
98,Non-temporal write,1,100000c40,10295,10397,0,0,11,50,0,0,0,1,102
97,Non-temporal read,2,c00,10195,10772,0,0,0,50,0,0,0,27,577
100,Non-temporal write,1,100000c80,10495,10597,0,0,11,50,0,0,0,1,102
99,Non-temporal read,2,c40,10395,10972,0,0,0,50,0,0,0,27,577
102,Non-temporal write,1,100000cc0,10695,10797,0,0,11,50,0,0,0,1,102
101,Non-temporal read,2,c80,10595,11172,0,0,0,50,0,0,0,27,577
104,Non-temporal write,1,100000d00,10895,10997,0,0,11,50,0,0,0,1,102
103,Non-temporal read,2,cc0,10795,11372,0,0,0,50,0,0,0,27,577
106,Non-temporal write,1,100000d40,11095,11197,0,0,11,50,0,0,0,1,102
105,Non-temporal read,2,d00,10995,11572,0,0,0,50,0,0,0,27,577
108,Non-temporal write,1,100000d80,11295,11397,0,0,11,50,0,0,0,1,102
107,Non-temporal read,2,d40,11195,11772,0,0,0,50,0,0,0,27,577
110,Non-temporal write,1,100000dc0,11495,11597,0,0,11,50,0,0,0,1,102
109,Non-temporal read,2,d80,11395,11972,0,0,0,50,0,0,0,27,577
112,Non-temporal write,1,100000e00,11695,11797,0,0,11,50,0,0,0,1,102
111,Non-temporal read,2,dc0,11595,12172,0,0,0,50,0,0,0,27,577
114,Non-temporal write,1,100000e40,11895,11997,0,0,11,50,0,0,0,1,102
113,Non-temporal read,2,e00,11795,12372,0,0,0,50,0,0,0,27,577
116,Non-temporal write,1,100000e80,12095,12197,0,0,11,50,0,0,0,1,102
115,Non-temporal read,2,e40,11995,12572,0,0,0,50,0,0,0,27,577
118,Non-temporal write,1,100000ec0,12295,12397,0,0,11,50,0,0,0,1,102
117,Non-temporal read,2,e80,12195,12772,0,0,0,50,0,0,0,27,577
120,Non-temporal write,1,100000f00,12495,12597,0,0,11,50,0,0,0,1,102
119,Non-temporal read,2,ec0,12395,12972,0,0,0,50,0,0,0,27,577
122,Non-temporal write,1,100000f40,12695,12797,0,0,11,50,0,0,0,1,102
121,Non-temporal read,2,f00,12595,13172,0,0,0,50,0,0,0,27,577
124,Non-temporal write,1,100000f80,12895,12997,0,0,11,50,0,0,0,1,102
123,Non-temporal read,2,f40,12795,13372,0,0,0,50,0,0,0,27,577
126,Non-temporal write,1,100000fc0,13095,13197,0,0,11,50,0,0,0,1,102
125,Non-temporal read,2,f80,12995,13572,0,0,0,50,0,0,0,27,577
128,Non-temporal write,1,100001000,13295,13397,0,0,11,50,0,0,0,1,102
127,Non-temporal read,2,fc0,13195,13772,0,0,0,50,0,0,0,27,577
130,Non-temporal write,1,100001040,13495,13597,0,0,11,50,0,0,0,1,102
129,Non-temporal read,2,1000,13395,13972,0,0,0,50,0,0,0,27,577
132,Non-temporal write,1,100001080,13695,13797,0,0,11,50,0,0,0,1,102
131,Non-temporal read,2,1040,13595,14172,0,0,0,50,0,0,0,27,577
134,Non-temporal write,1,1000010c0,13895,13997,0,0,11,50,0,0,0,1,102
133,Non-temporal read,2,1080,13795,14372,0,0,0,50,0,0,0,27,577
136,Non-temporal write,1,100001100,14095,14197,0,0,11,50,0,0,0,1,102
135,Non-temporal read,2,10c0,13995,14572,0,0,0,50,0,0,0,27,577
138,Non-temporal write,1,100001140,14295,14397,0,0,11,50,0,0,0,1,102
137,Non-temporal read,2,1100,14195,14772,0,0,0,50,0,0,0,27,577
140,Non-temporal write,1,100001180,14495,14597,0,0,11,50,0,0,0,1,102
139,Non-temporal read,2,1140,14395,14972,0,0,0,50,0,0,0,27,577
142,Non-temporal write,1,1000011c0,14695,14797,0,0,11,50,0,0,0,1,102
141,Non-temporal read,2,1180,14595,15172,0,0,0,50,0,0,0,27,577
144,Non-temporal write,1,100001200,14895,14997,0,0,11,50,0,0,0,1,102
143,Non-temporal read,2,11c0,14795,15372,0,0,0,50,0,0,0,27,577
146,Non-temporal write,1,100001240,15095,15197,0,0,11,50,0,0,0,1,102
145,Non-temporal read,2,1200,14995,15572,0,0,0,50,0,0,0,27,577
148,Non-temporal write,1,100001280,15295,15397,0,0,11,50,0,0,0,1,102
