id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal read,1,0,0,189,0,0,0,100,0,0,0,49,189
2,Non-temporal read,1,40,0,239,0,0,72,100,0,0,0,27,239
4,Non-temporal read,1,80,0,289,0,0,122,100,0,0,0,27,289
1,Non-temporal write,2,40000000,0,339,0,0,98,200,0,0,0,1,339
6,Non-temporal read,1,c0,0,389,0,0,222,100,0,0,0,27,389
3,Non-temporal write,2,40000040,0,439,0,0,198,200,0,0,0,1,439
5,Non-temporal write,2,40000080,0,489,0,0,248,200,0,0,0,1,489
7,Non-temporal write,2,400000c0,0,539,0,0,298,200,0,0,0,1,539
8,Non-temporal read,1,100,0,589,0,0,422,100,0,0,0,27,589
9,Non-temporal write,2,40000100,189,639,0,0,209,200,0,0,0,1,450
10,Non-temporal read,1,140,239,689,0,0,283,100,0,0,0,27,450
11,Non-temporal write,2,40000140,289,739,0,0,209,200,0,0,0,1,450
12,Non-temporal read,1,180,339,789,0,0,283,100,0,0,0,27,450
13,Non-temporal write,2,40000180,389,839,0,0,209,200,0,0,0,1,450
14,Non-temporal read,1,1c0,439,889,0,0,283,100,0,0,0,27,450
15,Non-temporal write,2,400001c0,489,939,0,0,209,200,0,0,0,1,450
16,Non-temporal read,1,200,539,989,0,0,283,100,0,0,0,27,450
17,Non-temporal write,2,40000200,589,1039,0,0,209,200,0,0,0,1,450
18,Non-temporal read,1,240,639,1089,0,0,283,100,0,0,0,27,450
19,Non-temporal write,2,40000240,689,1139,0,0,209,200,0,0,0,1,450
20,Non-temporal read,1,280,739,1189,0,0,283,100,0,0,0,27,450
21,Non-temporal write,2,40000280,789,1239,0,0,209,200,0,0,0,1,450
22,Non-temporal read,1,2c0,839,1289,0,0,283,100,0,0,0,27,450
23,Non-temporal write,2,400002c0,889,1339,0,0,209,200,0,0,0,1,450
24,Non-temporal read,1,300,939,1389,0,0,283,100,0,0,0,27,450
25,Non-temporal write,2,40000300,989,1439,0,0,209,200,0,0,0,1,450
26,Non-temporal read,1,340,1039,1489,0,0,283,100,0,0,0,27,450
27,Non-temporal write,2,40000340,1089,1539,0,0,209,200,0,0,0,1,450
28,Non-temporal read,1,380,1139,1589,0,0,283,100,0,0,0,27,450
29,Non-temporal write,2,40000380,1189,1639,0,0,209,200,0,0,0,1,450
30,Non-temporal read,1,3c0,1239,1689,0,0,283,100,0,0,0,27,450
31,Non-temporal write,2,400003c0,1289,1739,0,0,209,200,0,0,0,1,450
32,Non-temporal read,1,400,1339,1789,0,0,283,100,0,0,0,27,450
33,Non-temporal write,2,40000400,1389,1839,0,0,209,200,0,0,0,1,450
